id,nume,diacritice,judet,auto,zip,populatie,lat,lng
77,Nuci,Nuci,Ilfov,IF,77140,616,44.716.667,26.3
78,Balta Neagra,Balta Neagră,Ilfov,IF,77141,283,446.974.243,263.038.894
79,Merii Petchii,Merii Petchii,Ilfov,IF,77142,1010,447.385.545,263.031.687
80,Micsunesti-Moara,Micşuneşti-Moară,Ilfov,IF,77140,451,447.014.838,263.276.073
81,Micsunestii Mari,Micşuneştii Mari,Ilfov,IF,77144,738,446.918.335,263.515.578
82,Pantelimon,Pantelimon,Ilfov,IF,77145,25596,44.450.951,262.352.115
83,Peris,Periş,Ilfov,IF,77150,5682,446.779.178,260.352.559
84,Balteni,Bălteni,Ilfov,IF,77151,484,447.162.588,260.354.809
85,Burias,Buriaş,Ilfov,IF,77152,1391,447.341.671,259.823.904
86,Petrachioaia,Petrăchioaia,Ilfov,IF,77155,2014,44.583.333,26.316.667
87,Maineasca,Măineasca,Ilfov,IF,77156,397,445.757.952,263.448.575
88,Surlari,Surlari,Ilfov,IF,77157,620,445.733.114,26.314.894
89,Vanatori,Vânători,Ilfov,IF,77158,467,445.902.752,262.963.142
90,Popesti-Leordeni,Popeşti-Leordeni,Ilfov,IF,77160,21895,443.788.851,261.876.693
91,Snagov,Snagov,Ilfov,IF,77165,1763,44.708.889,26.171.389
92,Ciofliceni,Ciofliceni,Ilfov,IF,77166,1223,446.818.087,261.155.207
93,Tancabesti,Tâncăbeşti,Ilfov,IF,77167,1385,446.809.524,260.734.967
94,Vladiceasca,Vlădiceasca,Ilfov,IF,77168,341,44.668.317,26.084.651
95,Ghermanesti,Ghermăneşti,Ilfov,IF,77170,2560,446.885.253,261.436.999
96,Stefanestii de Jos,Ştefăneştii de Jos,Ilfov,IF,77175,2923,445.284.438,261.961.173
97,Cretuleasca,Creţuleasca,Ilfov,IF,77176,419,44.532.758,261.886.175
98,Stefanestii de Sus,Ştefăneştii de Sus,Ilfov,IF,77177,2433,445.284.438,261.961.173
99,Tunari,Tunari,Ilfov,IF,77180,5007,44.546.529,261.375.753
100,Dimieni,Dimieni,Ilfov,IF,77180,329,445.882.922,261.335.493
101,Vidra,Vidra,Ilfov,IF,77186,3872,44.266.667,26.15
102,Cretesti,Creţeşti,Ilfov,IF,77186,2708,442.791.542,261.383.191
103,Sintesti,Sinteşti,Ilfov,IF,77187,2936,443.061.878,261.182.026
104,Voluntari,Voluntari,Ilfov,IF,77190,42944,445.050.832,261.555.435
105,Pipera (Voluntari),Pipera (Voluntari),Ilfov,IF,77191,42944,444.977.877,261.249.325
106,Bolintin-Vale,Bolintin-Vale,Giurgiu,GR,87015,8334,444.474.639,257.646.681
107,Crivina,Crivina,Giurgiu,GR,85101,872,444.306.651,257.833.209
108,Malu Spart,Malu Spart,Giurgiu,GR,85102,3200,444.433.426,257.103.399
109,Suseni,Suseni,Giurgiu,GR,85103,523,444.504.964,256.959.372
110,Mihailesti,Mihăileşti,Giurgiu,GR,85200,4947,443.213.976,259.099.083
111,Draganescu,Drăgănescu,Giurgiu,GR,85201,483,443.438.211,258.832.619
112,Novaci,Novaci,Giurgiu,GR,85202,1302,443.006.639,259.749.854
113,Popesti,Popeşti,Giurgiu,GR,85203,1191,443.038.668,259.567.871
114,Adunatii-Copaceni,Adunaţii-Copăceni,Giurgiu,GR,87005,3309,442.579.328,260.495.864
115,Darasti-Vlasca,Dărăşti-Vlaşca,Giurgiu,GR,87006,2177,442.887.554,260.137.759
116,Mogosesti,Mogoşeşti,Giurgiu,GR,87007,519,442.400.359,261.077.065
117,Varlaam,Varlaam,Giurgiu,GR,87008,616,442.453.986,260.858.024
118,Baneasa,Băneasa,Giurgiu,GR,87010,3231,440.478.047,260.683.623
119,Frasinu,Frasinu,Giurgiu,GR,87011,521,44.026.155,260.221.228
120,Pietrele,Pietrele,Giurgiu,GR,87012,1180,440.639.746,26.117.033
121,Sfantu Gheorghe (Baneasa),Sfântu Gheorghe (Băneasa),Giurgiu,GR,87013,3231,440.164.504,260.319.073
122,Bolintin-Deal,Bolintin-Deal,Giurgiu,GR,87015,3854,444.487.977,258.202.444
123,Mihai Voda,Mihai Vodă,Giurgiu,GR,87016,2067,444.420.568,258.175.996
124,Bucsani,Bucşani,Giurgiu,GR,87020,1090,443.762.164,256.728.054
125,Anghelesti,Angheleşti,Giurgiu,GR,87021,179,443.382.122,25.642.074
126,Goleasca,Goleasca,Giurgiu,GR,87022,492,443.544.775,255.844.317
127,Obedeni,Obedeni,Giurgiu,GR,87023,347,443.509.219,256.504.243
128,Podisor,Podişor,Giurgiu,GR,87024,572,443.888.081,257.148.719
129,Uiesti,Uieşti,Giurgiu,GR,87026,405,443.571.997,256.140.239
130,Vadu Lat,Vadu Lat,Giurgiu,GR,87027,821,443.483.975,256.711.495
131,Bulbucata,Bulbucata,Giurgiu,GR,87030,982,442.751.875,258.070.812
